,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
345,0.12417546,0.12417546,0.12417546,0.12417546,0.12417546
346,0.4849439,0.09375281,0.051528737,0.09794506,0.037695765
347,0.8043829,0.8043829,0.8043829,0.8043829,0.8043829
348,0.45910648,0.008825631,0.013661851,0.016652334,0.0067449636
349,0.05214464,0.05214464,0.05214464,0.05214464,0.05214464
350,0.044029128,0.09375279,0.051528737,0.09794506,0.037695765
351,0.97315156,0.97960037,0.9848551,0.9812386,0.97013223
352,0.2638096,0.057015855,0.053001344,0.061990052,0.051434703
353,0.8606264,0.07727727,0.05304583,0.07861698,0.051922265
354,0.096610844,0.096610844,0.096610844,0.096610844,0.096610844
355,0.044613995,0.12576447,0.06369108,0.118914254,0.0645597
356,0.3142961,0.178032,0.18218873,0.18322332,0.17941351
357,0.49484167,0.15027243,0.27672207,0.24030754,0.24182792
358,0.14989996,0.14989996,0.14989996,0.14989996,0.14989996
359,0.8060606,0.8060606,0.8060606,0.8060606,0.8060606
360,0.1498377,0.068537325,0.042579923,0.0676338,0.03701
361,0.379475,0.08451949,0.10927436,0.13262346,0.09987404
362,0.35422483,0.29395783,0.31724367,0.37457183,0.31089434
363,0.013838169,0.015455856,0.021913413,0.024600908,0.030250223
364,0.7448382,0.7448382,0.7448382,0.7448382,0.7448382
365,0.9897058,0.9897058,0.9901148,0.9897058,0.9897058
366,0.15393208,0.15393208,0.15393208,0.15393208,0.15393208
367,0.35519844,0.64826846,0.71359354,0.69938165,0.6670621
368,0.061372403,0.09757634,0.1287863,0.11787961,0.09396992
369,0.6047338,0.058114775,0.059434205,0.08384534,0.04970187
370,0.39123276,0.39123276,0.39123276,0.39123276,0.39123276
371,0.40787512,0.40787512,0.40787512,0.40787512,0.40787512
372,0.07451897,0.08445913,0.08494508,0.09966615,0.08637772
373,0.1097521,0.15906325,0.11330831,0.18852858,0.10757083
374,0.13150294,0.043253057,0.048196007,0.059024166,0.045472946
375,0.061113153,0.06764506,0.05121982,0.06532262,0.027862461
376,0.12701628,0.11635688,0.15682252,0.15210512,0.1517221
377,0.20646411,0.20646411,0.20646411,0.20646411,0.20646411
378,0.06546748,0.040593587,0.062241014,0.07533554,0.04537034
379,0.86419123,0.67775834,0.7150901,0.74380994,0.7130158
380,0.49112812,0.10894774,0.118687116,0.15194134,0.08709331
381,0.77060366,0.059955653,0.08437149,0.077880055,0.049900662
382,0.100277014,0.060445033,0.062142067,0.060191475,0.06282351
383,0.07133968,0.108540274,0.10345922,0.10469829,0.08288668
384,0.24138372,0.24210048,0.24996589,0.24826227,0.257349
385,0.0840705,0.11444791,0.13604712,0.14881971,0.13709566
386,0.07462884,0.07462884,0.07462884,0.07462884,0.07462884
387,0.44752702,0.44752702,0.44752702,0.44752702,0.44752702
388,0.3606775,0.053535968,0.039718412,0.05977898,0.04129365
389,0.5530122,0.11222376,0.102773465,0.109784454,0.104084454
390,0.064562276,0.076026,0.07496236,0.1032705,0.07198337
391,0.7731617,0.109449826,0.15299803,0.16671053,0.13255526
392,0.09958848,0.12182238,0.13422778,0.18150298,0.12257708
393,0.7696527,0.76848316,0.7705122,0.7687253,0.77491593
394,0.16497143,0.07861318,0.047910493,0.091511235,0.052652918
395,0.07697384,0.07697384,0.07697384,0.07697384,0.07697384
396,0.95131403,0.95131403,0.95131403,0.95131403,0.95131403
397,0.08092368,0.10754487,0.05528058,0.11175735,0.06649999
398,0.14949687,0.05235472,0.062651604,0.08821287,0.03739623
399,0.07720832,0.07720832,0.07720832,0.07720832,0.07720832
400,0.08990584,0.08321145,0.08644974,0.1312615,0.085258946
401,0.089566216,0.089566216,0.089566216,0.089566216,0.089566216
402,0.087514296,0.06791863,0.07919674,0.09142567,0.060977414
403,0.16546579,0.1414941,0.19288765,0.19186577,0.17703393
404,0.6045807,0.66198504,0.690856,0.6985791,0.632431
405,0.89013106,0.6293562,0.66845006,0.6613394,0.5154597
406,0.64286625,0.15385744,0.17626284,0.24101633,0.11164131
407,0.051109817,0.048946057,0.060184278,0.07749899,0.04559327
408,0.049197365,0.0139296595,0.036140777,0.03925886,0.011034323
409,0.1077732,0.13246323,0.119675025,0.1547801,0.11569134
410,0.89613044,0.8606264,0.90069985,0.88546944,0.8361677
411,0.16414915,0.16414915,0.16414915,0.16414915,0.16414915
412,0.2767749,0.10015552,0.10873494,0.11728765,0.100806914
413,0.604768,0.56086785,0.6358631,0.6048147,0.5905665
414,0.9627724,0.9790141,0.98081344,0.9800028,0.97699755
415,0.15582243,0.12046868,0.44153488,0.24119157,0.102513425
